applicant_id,CPA,weight
STR-04395A,"MISSION BEACH",9
STR-04295A,"MISSION BEACH",4
STR-04582A,"MISSION BEACH",10
STR-04733A,"MISSION BEACH",10
STR-04616A,"MISSION BEACH",5
STR-04621A,"MISSION BEACH",7
STR-04619A,"MISSION BEACH",5
STR-04369A,"MISSION BEACH",0
STR-04335A,"MISSION BEACH",8
STR-04231A,"MISSION BEACH",4
STR-04466A,"MISSION BEACH",10
STR-04756A,"MISSION BEACH",4
STR-04523A,"MISSION BEACH",6
STR-04622A,"MISSION BEACH",10
STR-04540A,"MISSION BEACH",5
STR-04382A,"MISSION BEACH",6
STR-04371A,"MISSION BEACH",3
STR-04236A,"MISSION BEACH",7
STR-04476A,"MISSION BEACH",6
STR-04758A,"MISSION BEACH",7
STR-04524A,"MISSION BEACH",10
STR-04625A,"MISSION BEACH",0
STR-04602A,"MISSION BEACH",10
STR-04333A,"MISSION BEACH",8
STR-04251A,"MISSION BEACH",6
STR-04217A,"MISSION BEACH",10
STR-03655A,"MISSION BEACH",10
STR-04706A,"MISSION BEACH",0
STR-04496A,"MISSION BEACH",8
STR-04627A,"MISSION BEACH",8
STR-04608A,"MISSION BEACH",7
STR-04319A,"MISSION BEACH",8
STR-04290A,"MISSION BEACH",8
STR-04150A,"MISSION BEACH",10
STR-03523A,"MISSION BEACH",10
STR-04407A,"MISSION BEACH",10
STR-04503A,"MISSION BEACH",10
STR-04645A,"MISSION BEACH",9
STR-04574A,"MISSION BEACH",10
STR-04320A,"MISSION BEACH",10
STR-04297A,"MISSION BEACH",10
STR-04102A,"MISSION BEACH",5
STR-04410A,"MISSION BEACH",5
STR-04418A,"MISSION BEACH",1
STR-04433A,"MISSION BEACH",10
STR-04559A,"MISSION BEACH",8
STR-04453A,"MISSION BEACH",8
STR-04255A,"MISSION BEACH",10
STR-04192A,"MISSION BEACH",10
STR-04121A,"MISSION BEACH",10
STR-04423A,"MISSION BEACH",8
STR-04686A,"MISSION BEACH",10
STR-04448A,"MISSION BEACH",1
STR-04429A,"MISSION BEACH",7
STR-04513A,"MISSION BEACH",8
STR-04258A,"MISSION BEACH",6
STR-04134A,"MISSION BEACH",5
STR-04093A,"MISSION BEACH",10
STR-04430A,"MISSION BEACH",10
STR-04583A,"MISSION BEACH",10
STR-04450A,"MISSION BEACH",8
STR-04539A,"MISSION BEACH",5
STR-04402A,"MISSION BEACH",7
STR-04220A,"MISSION BEACH",10
STR-04136A,"MISSION BEACH",8
STR-03771A,"MISSION BEACH",8
STR-04263A,"MISSION BEACH",10
STR-04586A,"MISSION BEACH",7
STR-04270A,"MISSION BEACH",10
STR-04509A,"MISSION BEACH",10
STR-04353A,"MISSION BEACH",10
STR-04230A,"MISSION BEACH",8
STR-04078A,"MISSION BEACH",10
STR-04081A,"MISSION BEACH",9
STR-04265A,"MISSION BEACH",8
STR-04387A,"MISSION BEACH",10
STR-04292A,"MISSION BEACH",10
STR-04463A,"MISSION BEACH",6
STR-04338A,"MISSION BEACH",4
STR-04154A,"MISSION BEACH",10
STR-04113A,"MISSION BEACH",10
STR-03976A,"MISSION BEACH",10
STR-03925A,"MISSION BEACH",7
STR-04344A,"MISSION BEACH",10
STR-04415A,"MISSION BEACH",6
STR-04412A,"MISSION BEACH",10
STR-04321A,"MISSION BEACH",5
STR-04159A,"MISSION BEACH",10
STR-04116A,"MISSION BEACH",6
STR-04011A,"MISSION BEACH",9
STR-03927A,"MISSION BEACH",10
STR-04269A,"MISSION BEACH",10
STR-04227A,"MISSION BEACH",8
